product_category_name,total_units_sold,total_revenue,total_orders,avg_freight_value
relogios_presentes,5930,1288520.79,5565,16.77
tablets_impressao_imagem,83,8754.61,79,14.77
moveis_decoracao,8245,889477.35,6384,20.67
artes_e_artesanato,24,2184.14,23,15.42
informatica_acessorios,7725,1042332.74,6606,18.86
fashion_bolsas_e_acessorios,2008,181465.55,1843,15.39
alimentos,504,36197.11,444,14.24
fashion_esporte,29,2657.55,26,19.41
livros_importados,57,5150.94,50,12.84
portateis_casa_forno_e_cafe,75,50093.46,74,36.47
sinalizacao_e_seguranca,198,27858.60,139,32.77
fashion_roupa_masculina,127,12582.19,107,16.38
eletroportateis,662,199818.13,613,23.42
dvds_blu_ray,62,5804.37,57,20.08
telefonia_fixa,256,59847.15,213,17.64
market_place,307,33271.94,276,17.43
construcao_ferramentas_jardim,233,30719.39,191,22.37
cama_mesa_banho,11072,1238193.66,9378,18.43
moveis_colchao_e_estofado,38,5998.54,38,42.91
casa_conforto_2,30,1170.58,24,13.68
fashion_roupa_feminina,46,3288.47,37,13.01
telefonia,4488,383533.39,4148,15.67
consoles_games,1095,167869.16,1024,17.58
construcao_ferramentas_seguranca,183,42504.02,159,20.39
moveis_cozinha_area_de_servico_jantar_e_jardim,277,57764.93,244,42.61
portateis_cozinha_e_preparadores_de_alimentos,14,4228.05,13,21.03
fashion_roupa_infanto_juvenil,7,598.67,7,11.25
esporte_lazer,8534,1132144.26,7625,19.42
construcao_ferramentas_iluminacao,302,47511.18,243,24.86
pc_gamer,8,1430.10,7,15.39
pet_shop,1938,252521.20,1702,20.24
eletronicos,2749,203004.59,2537,16.82
ferramentas_jardim,4307,573395.11,3485,22.72
bebidas,372,27569.85,292,15.16
alimentos_bebidas,271,19475.38,223,16.33
cool_stuff,3764,700918.70,3603,21.95
beleza_saude,9580,1427218.10,8753,18.90
livros_interesse_geral,542,54391.10,501,16.54
audio,363,56371.26,349,15.71
moveis_escritorio,1678,337764.68,1264,40.27
fashion_calcados,259,28154.20,237,18.85
construcao_ferramentas_construcao,920,163144.43,740,22.16
musica,38,6724.86,38,18.17
moveis_sala,498,85913.56,417,35.78
cds_dvds_musicais,14,954.99,12,16.07
utilidades_domesticas,6873,768364.67,5819,21.03
perfumaria,3378,447128.20,3123,15.87
eletrodomesticos,764,94061.94,757,19.20
pcs,202,231116.02,180,48.53
automotivo,4183,675764.56,3853,21.90
malas_acessorios,1084,169799.09,1026,27.93
agro_industria_e_comercio,211,78345.85,181,27.65
fraldas_higiene,38,2101.25,26,14.80
artigos_de_festas,43,5313.15,39,19.26
cine_foto,71,8091.78,64,17.58
papelaria,2491,272746.29,2286,18.55
moveis_quarto,105,23860.62,92,42.29
artigos_de_natal,150,11928.75,125,21.27
casa_construcao,601,96151.35,487,22.86
artes,201,27837.55,199,19.38
construcao_ferramentas_ferramentas,103,17934.17,97,19.71
casa_conforto,434,67073.27,397,19.59
la_cuisine,14,2388.54,13,23.83
flores,33,1598.91,29,14.81
fashion_underwear_e_moda_praia,130,11358.40,120,14.67
livros_tecnicos,266,23079.28,259,15.98
brinquedos,4059,550292.02,3832,18.81
eletrodomesticos_2,235,121055.52,231,44.28
industria_comercio_e_negocios,267,47448.99,234,29.44
climatizacao,294,61318.33,250,22.78
bebes,3016,472831.77,2842,22.31
,1564,203651.75,1416,17.62
seguros_e_servicos,2,324.51,2,20.61
instrumentos_musicais,655,203300.07,615,27.44
